Drug,Species,Task,Test_Accuracy,Test_F1_macro,Test_F1_weighted,Test_AUC,AP,Brier_Score,SHAP_Success,N_Test,Model_Path
Levofloxacin,Haemophilus influenzae,Binary (R vs Non-R),0.5964912280701754,0.592927376229084,0.5823100676191657,0.5959541858932103,0.39360893562969224,0.23615728947421316,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Levofloxacin_Haemophilus_influenzae
Ceftriaxone,Streptococcus pneumoniae,Binary (R vs Non-R),0.961352657004831,0.5900990099009901,0.9632371932845458,0.6665294924554183,0.0617823082135881,0.020771706455177272,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Ceftriaxone_Streptococcus_pneumoniae
Moxifloxacin,Haemophilus influenzae,Binary (R vs Non-R),0.5360623781676414,0.5327797336598806,0.5189620904993063,0.5501197875073782,0.32462476057887657,0.22249533667184018,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Moxifloxacin_Haemophilus_influenzae
Amoxicillin,Haemophilus influenzae,Multiclass (S/I/R),0.7270955165692008,0.49940865601854584,0.6653603354108669,0.8304075687586069,,0.12359970511471446,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Amoxicillin_Haemophilus_influenzae
Clarithromycin,Streptococcus pneumoniae,Binary (R vs Non-R),0.6763285024154589,0.4951770829541732,0.5930572854050292,0.7030891553701772,0.8154782708090215,0.22355154292747156,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Clarithromycin_Streptococcus_pneumoniae
Azithromycin,Haemophilus influenzae,Binary (R vs Non-R),0.9415204678362573,0.48493975903614456,0.9131614176002254,0.5218426501035196,0.06965953800280253,0.05646719842688453,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Azithromycin_Haemophilus_influenzae
Cefpodoxime,Streptococcus pneumoniae,Binary (R vs Non-R),0.538647342995169,0.4410427873638375,0.43427252916975667,0.6428654847826595,0.6123128381330357,0.2385208529709282,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Cefpodoxime_Streptococcus_pneumoniae
Amoxicillin,Streptococcus pneumoniae,Multiclass (S/I/R),0.6376811594202898,0.4323821507212511,0.5634615839670751,0.701126549620112,,0.16504479988686746,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Amoxicillin_Streptococcus_pneumoniae
Erythromycin,Streptococcus pneumoniae,Binary (R vs Non-R),0.6763285024154589,0.4034582132564842,0.5457405783179496,0.6201492537313433,0.7910568912179493,0.24048170397228152,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Erythromycin_Streptococcus_pneumoniae
Azithromycin,Streptococcus pneumoniae,Binary (R vs Non-R),0.6763285024154589,0.4034582132564842,0.5457405783179496,0.6395122601279318,0.8094083755856526,0.23454855325539556,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Azithromycin_Streptococcus_pneumoniae
Penicillin,Streptococcus pneumoniae,Multiclass (S/I/R),0.46859903381642515,0.329877752769319,0.42603460505503454,0.6241745603447477,,0.1932134944308793,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Penicillin_Streptococcus_pneumoniae
Amoxicillin Clavulanate,Haemophilus influenzae,Multiclass (S/I/R),0.8011695906432749,0.29653679653679654,0.7127287916761601,0.6472380803676944,,0.11392855268726128,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Amoxicillin_Clavulanate_Haemophilus_influenzae
Cefuroxime,Haemophilus influenzae,Multiclass (S/I/R),0.6608187134502924,0.2652582159624413,0.5258627790132608,0.7543885624379719,,0.1451809517180557,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Cefuroxime_Haemophilus_influenzae
Cefuroxime,Streptococcus pneumoniae,Multiclass (S/I/R),0.3719806763285024,0.24752884031572556,0.3689114155733305,0.3262212033805605,,0.19584898327476327,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Cefuroxime_Streptococcus_pneumoniae
Amoxicillin Clavulanate,Streptococcus pneumoniae,Multiclass (S/I/R),0.5893719806763285,0.24721377912867273,0.43710262396663874,0.4633029112367329,,0.19247803504703984,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Amoxicillin_Clavulanate_Streptococcus_pneumoniae
